United Arab Emirates,23.4,25.5
United Kingdom,39.7,40.5
United States,42.3,41.9
United States Virgin Islands,47.9,48
Uruguay,47.7,46.4
Uzbekistan,61.8,62.4
Vanuatu,99.7,97
Venezuela,64.4,57.9
Vietnam,48,48.7
Western Sahara,57.6,55.6
Yemen,104.3,98.3
Zambia,131.3,122.8
Zimbabwe,120.2,113.3
